 -5.134596 14.912472 642.003418	 114.845428 519.513855
 36.059902 -40.786057 594.106873	 147.724106 327.422729
 -7.008908 -13.290617 635.988159	 275.647797 479.244873
 -5.298651 -54.870178 605.771790	 127.570488 479.872009
 32.886318 -7.406721 653.938660	 140.549805 545.928162
 43.144035 -11.292201 636.476074	 103.580238 487.481934
 9.961481 -49.799332 599.294617	 222.152634 325.911987
 20.309301 -39.801300 586.507629	 173.071686 610.102051
 29.987299 -22.830910 643.455261	 151.201691 498.460938
 26.974375 -48.092476 596.627625	 161.940521 318.835358
 12.643321 -1.235941 604.370972	 226.736923 302.070068
 -6.053477 -49.549423 600.046021	 275.835510 326.752533
 -11.153646 -26.601210 613.977539	 298.344360 326.650330
 19.897461 -51.338734 601.756287	 242.957443 527.326477
 -5.830344 -48.342384 598.569946	 157.369141 359.989746
 33.405685 11.131545 629.400513	 260.807434 525.782227
 21.713123 -54.879951 626.579224	 185.362366 410.005066
 7.850437 -52.972065 603.296509	 227.528870 333.809265
 -11.463481 -1.570002 636.454834	 148.352066 289.026123
 21.498491 7.257117 612.432617	 133.363297 387.417358
 4.774609 -40.245014 587.405640	 293.806366 332.545013
 15.703423 -12.658196 666.149719	 267.547241 364.538330
 18.438389 -54.261135 634.376587	 154.280884 345.087158
 4.391246 -42.265533 590.009705	 234.954575 303.157318
 10.675506 15.719148 621.997192	 184.991333 308.338379
 34.171989 -27.427864 633.962585	 135.102463 462.981140
 8.936348 -52.231686 602.299438	 222.612732 331.090912
 -0.624346 -40.700203 588.829956	 272.377869 311.883362
 -8.084194 -46.380096 596.084900	 254.120331 323.312958
 11.179996 -37.708103 641.054321	 217.898041 474.317902
 32.152321 2.644863 664.307739	 179.384888 383.897644
 5.982074 0.680023 615.864197	 261.787598 373.293701
 1.174314 -39.419212 627.038635	 156.876465 501.554749
 31.801682 -38.628262 627.328979	 143.554840 431.816772
 32.394154 -36.554615 627.739136	 143.554840 431.816772
 44.949497 13.595778 657.994995	 254.365372 453.316345
 44.345978 -20.354351 620.538086	 145.553284 312.003021
 -1.752758 -48.925930 598.497253	 123.908417 299.682739
 11.805617 -8.360879 663.461975	 213.402283 575.648743
 24.613419 -46.491024 595.299866	 138.741425 537.960022
 0.275834 -44.992847 622.282776	 262.995605 468.695251
 15.690672 -37.071434 583.194214	 170.053802 311.642578
 4.462648 -54.180378 603.917908	 219.833069 506.468384
 43.445797 -11.260324 626.087036	 207.052155 382.595215
 18.207180 -41.339428 588.438477	 187.435242 299.454346
 -9.585770 -48.799274 600.231323	 232.765717 331.403748
 15.891279 -31.397921 576.854309	 110.231247 317.047150
 8.348978 -36.653645 582.231567	 187.222595 560.679016
 -4.549351 -22.100309 606.782471	 130.729584 379.862213
 15.411438 -68.333771 623.260742	 261.339233 343.181519
 25.642378 -29.436056 589.127441	 254.365372 453.316345
 -11.153646 -36.439865 610.358154	 152.025482 473.580536
 16.084234 -47.697639 595.246338	 254.795746 296.296600
 37.053158 -30.796951 601.531860	 189.961395 343.992554
 20.687565 -25.646204 584.804199	 160.725586 381.228882
 8.870895 -26.876617 586.002258	 128.171204 357.967285
 33.330032 2.439581 624.024475	 119.696793 322.444977
 -7.343819 -7.894213 623.911011	 158.811432 566.478577
 7.382496 19.189814 627.692749	 243.327011 435.027588
 26.997322 -48.501766 595.856262	 113.311234 497.041290
 -11.573135 -3.661072 637.203308	 105.213242 512.383057
 -12.158805 -49.863083 600.900696	 190.403595 373.033051
 24.223682 -58.951164 611.181396	 294.537292 361.251404
 31.410246 -23.320951 641.013123	 176.899887 486.963684
 37.440346 -30.881952 627.201904	 124.892899 438.801758
 -6.409638 -4.779709 643.958496	 251.363983 336.615326
 12.809501 -27.608492 580.202148	 267.547241 364.538330
 9.567919 -7.340844 602.364868	 287.188477 372.056702
 -5.152446 -20.936197 631.819214	 267.693665 459.574036
 39.823402 -33.002350 620.701721	 114.893501 415.072144
 9.292934 -10.772834 601.034607	 236.205124 313.502777
 38.335850 -21.343361 611.440613	 106.757889 420.575500
 33.691723 -1.708557 620.442017	 168.062500 354.083435
 45.428486 -17.420479 626.240906	 107.153473 567.199036
