 -11.264575 -41.747864 600.524597	 312.158112 296.070557
 8.936348 -52.231686 602.299438	 407.630463 308.933960
 32.916920 -51.763748 600.206665	 326.662323 304.447998
 13.878838 -59.675385 628.598022	 397.719604 388.066772
 1.466299 13.905189 633.639587	 284.966492 359.538361
 6.754325 -54.174427 604.209473	 418.227997 313.891296
 21.169531 -31.259367 648.479309	 368.010254 486.057312
 12.519642 -53.903271 603.515808	 407.063538 314.456390
 32.875694 -51.600117 600.196899	 291.147552 430.925568
 29.083294 -53.198170 602.404419	 340.085541 309.829712
 31.801682 -38.628262 627.328979	 328.151794 409.760376
 9.961481 -49.799332 599.294617	 406.690918 303.624146
 10.941990 -26.289677 649.758240	 351.078033 566.214722
 -8.084194 -46.380096 596.084900	 437.501892 301.135529
 0.275834 -44.992847 622.282776	 443.648071 446.051636
 44.949497 13.595778 657.994995	 436.444092 430.930389
 29.149595 -53.004364 602.058472	 340.085541 309.829712
 37.230816 -2.145471 652.134521	 309.312286 367.415527
 28.248140 11.976474 623.959045	 438.077026 536.881714
 19.423145 -43.361641 590.634094	 456.819275 490.096832
 6.892030 -22.291992 647.877991	 413.297699 487.676788
 4.788209 -5.539209 657.535156	 340.020416 478.844696
 19.146887 9.274234 611.458923	 436.632996 393.623840
 43.278767 0.607770 646.840515	 329.905945 290.061646
 15.411438 -68.333771 623.260742	 447.003845 321.172943
 17.775366 -63.320732 625.159668	 314.937500 335.419434
 20.585985 5.013467 608.740112	 382.536255 331.732452
 25.804308 -7.887412 606.802063	 434.907166 307.941986
 15.768450 -67.965286 621.648254	 461.718384 433.137177
 29.198473 -36.412235 631.819641	 339.968994 422.201660
 32.617287 -17.111494 645.090698	 289.072723 510.623657
 18.438389 -54.261135 634.376587	 341.976868 322.649078
 37.053158 -30.796951 601.531860	 376.409302 321.988068
 19.467773 -61.414120 612.917969	 412.042053 542.199341
 8.813093 -41.043194 588.970154	 401.815735 279.074005
 15.891279 -31.397921 576.854309	 296.285767 295.127441
 6.267259 -8.234224 606.234619	 316.960846 440.607422
 -5.684139 8.449282 636.961060	 437.501892 301.135529
 17.707790 -36.094753 581.540466	 294.487152 423.564850
 33.612667 -28.388819 634.203125	 325.553436 356.738190
 -11.153646 -36.439865 610.358154	 335.905090 451.094910
 27.662470 31.792759 637.370728	 458.647766 301.127136
 -6.618320 -2.374129 646.969299	 449.369354 502.588501
 8.571260 31.805082 637.932251	 412.986755 409.767914
 6.735624 -43.214165 590.375671	 443.986145 484.235107
 33.106476 -52.477345 598.268188	 325.289246 297.584076
 12.250182 -2.754942 603.597046	 391.697205 370.455627
 32.693363 -40.397594 623.701843	 327.618164 393.691742
 37.501549 -30.365561 627.544006	 308.459106 416.617554
 -9.585770 -48.799274 600.231323	 417.522308 309.032776
 -5.472482 12.693473 640.984192	 411.496399 393.066284
 37.248241 -19.003233 613.068481	 318.975830 364.957123
 10.109386 -59.443752 623.292603	 447.914734 334.425110
 29.728039 -52.487549 601.282349	 467.988892 413.341614
 21.171656 -13.444047 596.740723	 370.259918 399.578186
 14.621761 -64.150360 621.672424	 277.586548 414.903870
 2.406430 2.959799 661.089966	 419.836853 553.853027
 37.747635 -49.469521 596.296997	 317.707367 311.899597
 33.330032 2.439581 624.024475	 305.399567 300.331482
 7.685956 18.043550 627.871704	 449.670685 413.877350
 12.360262 -22.472198 652.610535	 396.113373 504.389984
 4.936114 -52.567448 602.862183	 422.309082 311.201599
 25.642378 -29.436056 589.127441	 436.444092 430.930389
 32.190998 -41.838818 587.737610	 299.576599 307.361542
 32.821716 -51.158955 599.348572	 277.096802 557.588745
 29.773943 -18.477915 602.480530	 304.242676 490.624207
 20.309301 -39.801300 586.507629	 353.331055 586.930481
 -7.006358 -49.620403 600.433228	 464.188782 305.092438
 7.089661 -36.940105 583.244324	 396.722656 578.593628
 10.289167 -41.271423 588.856262	 330.875549 264.613098
 46.316765 -12.938280 629.802979	 394.661011 416.486938
 22.340870 -50.193321 599.696655	 361.214081 303.228455
 1.401697 25.817059 643.705627	 333.504120 468.650909
 19.263765 -6.121479 672.649048	 275.125366 533.936035
 1.288218 -12.098453 610.395935	 455.042297 473.596008
 46.388168 -26.409103 617.585938	 435.384308 402.943604
 12.728324 -65.776886 617.494568	 271.322815 525.927002
 9.292934 -10.772834 601.034607	 419.177673 291.164917
 4.415472 -18.625395 599.683044	 329.911865 545.739258
 4.582078 -42.534142 590.286011	 417.084961 281.302856
 5.917472 -5.111220 659.703979	 298.604797 392.653625
